id,input_text,target_text
2732,please get the cushion from the bed,"TAKING(Theme('the cushion'), Source('from the bed'))"
2746,search for the bottle,LOCATING(Sought_entity('for the bottle'))
2683,carry the mug to the living room,"BRINGING(Theme('the mug'), Goal('to the living room'))"
2672,activate the television,CHANGE_OPERATIONAL_STATE(Device('the television'))
2679,bring the mobile to the dining room,"BRINGING(Theme('the mobile'), Goal('to the dining room'))"
2747,search for the stove in the studio,"LOCATING(Sought_entity('for the stove'), Ground('in the studio'))"
2724,look for the bed in the bathroom,"LOCATING(Sought_entity('for the bed'), Ground('in the bathroom'))"
2745,reach martina from behind,"MOTION(Goal('martina'), Path('from behind'))"
2708,go get the book,TAKING(Theme('the book'))
2718,go to the studio,MOTION(Goal('to the studio'))
2719,go to the television in the living room,MOTION(Goal('to the television in the living room'))
2676,bring the bottle to the bathroom sink,"BRINGING(Theme('the bottle'), Goal('to the bathroom sink'))"
2756,drop the phone in the kitchen fridge,"RELEASING(Theme('the phone'), Goal('in the kitchen fridge'))"
2722,look for my phone,LOCATING(Sought_entity('for my phone'))
2687,find my address book in the living room,"LOCATING(Sought_entity('my address book'), Ground('in the living room'))"
2675,bring the book to the dining room,"BRINGING(Theme('the book'), Goal('to the dining room'))"
2741,put the bottle on the table in the studio,"PLACING(Theme('the bottle'), Goal('on the table in the studio'))"
2764,disconnect from the router,ATTACHING(Goal('from the router'))
2731,please follow that person and do it slowly,"COTHEME(Cotheme('that person'), Manner('slowly'))"
2697,find the stove in the studio,"LOCATING(Sought_entity('the stove'), Ground('in the studio'))"
2680,bring the mobile to the living room,"BRINGING(Theme('the mobile'), Goal('to the living room'))"
2735,please put the book on the table in the dining room,"PLACING(Theme('the book'), Goal('on the table in the dining room'))"
2751,take the bottle to the kitchen,"BRINGING(Theme('the bottle'), Goal('to the kitchen'))"
2730,please follow me to the living room,"COTHEME(Cotheme('me'), Goal('to the living room'))"
2691,find the bottle of wine in the kitchen,"LOCATING(Sought_entity('the bottle of wine'), Ground('in the kitchen'))"
2693,find the phone in the studio,"LOCATING(Sought_entity('the phone'), Ground('in the studio'))"
2673,activate the television at the right of the console,CHANGE_OPERATIONAL_STATE(Device('the television at the right of the console'))
2713,go to studio,MOTION(Goal('to studio'))
2737,please take the mug to the bedroom,"BRINGING(Theme('the mug'), Goal('to the bedroom'))"
2742,put the phone in the kitchen stove,"PLACING(Theme('the phone'), Goal('in the kitchen stove'))"
2694,find the pillow,LOCATING(Sought_entity('the pillow'))
2727,move towards the kitchen,MOTION(Goal('towards the kitchen'))
2739,put the book on the bed,"PLACING(Theme('the book'), Goal('on the bed'))"
2709,go into the bathroom,MOTION(Goal('into the bathroom'))
2744,search for a pillow in the living room,"LOCATING(Sought_entity('for a pillow'), Ground('in the living room'))"
2738,please walk slowly to the kitchen,"MOTION(Manner('slowly'), Goal('to the kitchen'))"
2710,go into the dining room with the bottle,MOTION(Goal('into the dining room'))
2696,find the shower,LOCATING(Sought_entity('the shower'))
2734,please put the book in the dining room,"PLACING(Theme('the book'), Goal('in the dining room'))"
2723,look for my phone in the bathroom and the bedroom,"LOCATING(Sought_entity('for my phone'), Ground('in the bathroom and the bedroom'))"
2678,bring the bottle to the kitchen,"BRINGING(Theme('the bottle'), Goal('to the kitchen'))"
2711,go near the couch,MOTION(Goal('near the couch'))
2743,put the phone on the table in the dining room,"PLACING(Theme('the phone'), Goal('on the table in the dining room'))"
2699,find the television,LOCATING(Sought_entity('the television'))
2684,come to the table,MOTION(Goal('to the table'))
2692,find the phone,LOCATING(Sought_entity('the phone'))
2720,go to the television in the studio,MOTION(Goal('to the television in the studio'))
2700,find the white vase,LOCATING(Sought_entity('the white vase'))
2725,look for the soap in the bathroom,"LOCATING(Sought_entity('for the soap'), Ground('in the bathroom'))"
2703,follow mark slowly,"COTHEME(Cotheme('mark'), Manner('slowly'))"
2690,find the bottle,LOCATING(Sought_entity('the bottle'))
2677,bring the bottle to the couch,"BRINGING(Theme('the bottle'), Goal('to the couch'))"
2755,take the phone to the bedroom,"BRINGING(Theme('the phone'), Goal('to the bedroom'))"
2729,please find the table in the bedroom,"LOCATING(Sought_entity('the table'), Ground('in the bedroom'))"
2757,leave the book in the bedroom,"RELEASING(Theme('the book'), Goal('in the bedroom'))"
2733,please move towards the living room,MOTION(Goal('towards the living room'))
2749,take the bottle to the bedroom,"BRINGING(Theme('the bottle'), Goal('to the bedroom'))"
2716,go to the living room,MOTION(Goal('to the living room'))
2715,go to the fridge,MOTION(Goal('to the fridge'))
2728,please find the bed,LOCATING(Sought_entity('the bed'))
2705,follow the guy in the blue hoodie,COTHEME(Cotheme('the guy in the blue hoodie'))
2726,move towards the bedroom,MOTION(Goal('towards the bedroom'))
2695,find the plates on the table,"LOCATING(Sought_entity('the plates'), Ground('on the table'))"
2748,take the book to the bedroom,"BRINGING(Theme('the book'), Goal('to the bedroom'))"
2750,take the bottle to the dining room,"BRINGING(Theme('the bottle'), Goal('to the dining room'))"
2702,follow john slowly,"COTHEME(Cotheme('john'), Manner('slowly'))"
2714,go to the closet of the dining room,MOTION(Goal('to the closet of the dining room'))
2682,bring the phone to the bedroom,"BRINGING(Theme('the phone'), Goal('to the bedroom'))"
2698,find the table in the bedroom,"LOCATING(Sought_entity('the table'), Ground('in the bedroom'))"
2717,go to the lounge,MOTION(Goal('to the lounge'))
2752,take the mobile into the bedroom,"BRINGING(Theme('the mobile'), Goal('into the bedroom'))"
2704,follow me slowly,"COTHEME(Cotheme('me'), Manner('slowly'))"
2681,bring the mug to the bedroom,"BRINGING(Theme('the mug'), Goal('to the bedroom'))"
2688,find my hat on the bed in the bedroom,"LOCATING(Sought_entity('my hat'), Ground('on the bed in the bedroom'))"
2736,please take the book to the bathroom,"BRINGING(Theme('the book'), Goal('to the bathroom'))"
2685,could you bring the phone to the bathroom please,"BRINGING(Agent('you'), Theme('the phone'), Goal('to the bathroom'))"
2701,find vittorio 's phone,LOCATING(Sought_entity('vittorio 's phone'))
2686,find a bottle in the kitchen,"LOCATING(Sought_entity('a bottle'), Ground('in the kitchen'))"
2707,go find the book,LOCATING(Sought_entity('the book'))
2712,go to dining room,MOTION(Goal('to dining room'))
2689,find the bed in the bathroom,"LOCATING(Sought_entity('the bed'), Ground('in the bathroom'))"
2721,look for my handbag in the dining room,"LOCATING(Sought_entity('for my handbag'), Ground('in the dining room'))"
2758,give me one apple from the table,"GIVING(Recipient('me'), Theme('one apple from the table'))"
2706,get the phone and take it to the bathroom,"TAKING(Theme('the phone')) - BRINGING(Theme('it'), Goal('to the bathroom'))"
2740,put the bottle on the table in the dining room,"PLACING(Theme('the bottle'), Goal('on the table in the dining room'))"
2674,bring me the bottle,"BRINGING(Beneficiary('me'), Theme('the bottle'))"
2754,take the phone to the bathroom,"BRINGING(Theme('the phone'), Goal('to the bathroom'))"
3395,michael carry me the phone that is on the glass table in the dining room,"BRINGING(Beneficiary('me'), Theme('the phone that is on the glass table in the dining room')) - BEING_LOCATED(Theme('that'), Location('on the glass table in the dining room'))"
3326,go to the couch and bring me my laptop,"MOTION(Goal('to the couch')) - BRINGING(Beneficiary('me'), Theme('my laptop'))"
3358,robot can you bring me the telephone,"BRINGING(Agent('you'), Beneficiary('me'), Theme('the telephone'))"
3348,please open the storage cupboard,CLOSURE(Containing_object('the storage cupboard'))
3374,robot come with me to the living room,"COTHEME(Cotheme('with me'), Goal('to the living room'))"
3393,hang my coat in the closet in my bedroom,"PLACING(Theme('my coat'), Goal('in the closet in my bedroom'))"
3361,robot can you get me a glass of water from the kitchen,"BRINGING(Agent('you'), Beneficiary('me'), Theme('a glass of water'), Source('from the kitchen'))"
3318,find the towel,LOCATING(Sought_entity('the towel'))
3276,robot can you bring me my reading glasses from the bedroom,"BRINGING(Agent('you'), Beneficiary('me'), Theme('my reading glasses'), Source('from the bedroom'))"
3290,bring me the remote control,"BRINGING(Beneficiary('me'), Theme('the remote control'))"
3306,could you close the shutters please,"CLOSURE(Agent('you'), Container_portal('the shutters'))"
3383,the trash needs to go out could you take it out please,"BRINGING(Agent('you'), Theme('it'), Goal('out'))"
3384,turn off the boiler,"CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the boiler'))"
3298,can you put the soap in the washing machine,"PLACING(Agent('you'), Theme('the soap'), Goal('in the washing machine'))"
3343,let 's take the soap to the kitchen,"BRINGING(Agent(''s'), Theme('the soap'), Goal('to the kitchen'))"
3359,robot can you come to the studio with me,"MOTION(Theme('you'), Goal('to the studio'))"
3315,could you turn on the television please,"CHANGE_OPERATIONAL_STATE(Agent('you'), Operational_state('on'), Device('the television'))"
3352,put the can in the bin,"PLACING(Theme('the can'), Goal('in the bin'))"
3347,please open the pantry,CLOSURE(Containing_object('the pantry'))
3362,robot can you open the laundry room cabinet,"CLOSURE(Agent('you'), Containing_object('the laundry room cabinet'))"
3334,i would like some cutlery can you get me some,"BRINGING(Agent('you'), Beneficiary('me'), Theme('some'))"
3294,bring the shampoo to the shower,"BRINGING(Theme('the shampoo'), Goal('to the shower'))"
3317,find the magazine and put it on the table,"LOCATING(Sought_entity('the magazine')) - PLACING(Theme('it'), Goal('on the table'))"
3278,robot can you start my laptop computer,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('my laptop computer'))"
3332,i want to jump in the shower can you turn it on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('it'), Operational_state('on'))"
3310,could you put my clothes on the washing line please,"PLACING(Agent('you'), Theme('my clothes'), Goal('on the washing line'))"
3288,bring me my coat,"BRINGING(Beneficiary('me'), Theme('my coat'))"
3389,turn on the television,"CHANGE_OPERATIONAL_STATE(Operational_state('on'), Device('the television'))"
3323,get me my towel,"BRINGING(Beneficiary('me'), Theme('my towel'))"
3297,can you put the detergent in the washing machine,"PLACING(Agent('you'), Theme('the detergent'), Goal('in the washing machine'))"
3289,bring me my towel,"BRINGING(Beneficiary('me'), Theme('my towel'))"
3366,robot can you pass me a plate,"GIVING(Donor('you'), Recipient('me'), Theme('a plate'))"
3329,i need some toilet paper can you get me some,"BRINGING(Agent('you'), Beneficiary('me'), Theme('some'))"
3327,go to the laundry room,MOTION(Goal('to the laundry room'))
3302,check if there 's clothes in the washing machine,"INSPECTING(Ground('there 's clothes in the washing machine')) - BEING_LOCATED(Theme('clothes'), Location('in the washing machine'))"
3321,get me my catalogue on the bedside table,"BRINGING(Beneficiary('me'), Theme('my catalogue'), Source('on the bedside table'))"
3281,take the laptop near the table of the dining room,TAKING(Theme('the laptop near the table of the dining room'))
3349,please pick up the phone,TAKING(Theme('the phone'))
3307,could you hang my clothes on the cloth horse please,"PLACING(Agent('you'), Theme('my clothes'), Goal('on the cloth horse'))"
3336,i would like to read an architecture magazine can you bring me one,"BRINGING(Agent('you'), Beneficiary('me'), Theme('one'))"
3300,can you turn the taps in the shower on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the taps in the shower'), Operational_state('on'))"
3386,turn off the tap,"CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the tap'))"
3295,bring the soap to the shower,"BRINGING(Theme('the soap'), Goal('to the shower'))"
3350,please take my trash to the laundry room,"BRINGING(Theme('my trash'), Goal('to the laundry room'))"
3337,i 'd really like to take a shower could you turn the shower on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the shower'), Operational_state('on'))"
3381,take the newspaper from the stand and put it on the coffee table,"TAKING(Theme('the newspaper'), Source('from the stand')) - PLACING(Theme('it'), Goal('on the coffee table'))"
3367,robot can you pass me the remote for the television,"GIVING(Donor('you'), Recipient('me'), Theme('the remote'), Reason('for the television'))"
3355,put the plate on the counter,"PLACING(Theme('the plate'), Goal('on the counter'))"
3273,bring me a fork from the press,"BRINGING(Beneficiary('me'), Theme('a fork'), Source('from the press'))"
3287,bring me my book from the table,"BRINGING(Beneficiary('me'), Theme('my book'), Source('from the table'))"
3283,take the phone near the table at your right,TAKING(Theme('the phone near the table at your right'))
3338,i 'm hungry go to the kitchen,MOTION(Goal('to the kitchen'))
3320,get a fork from the drawer,"TAKING(Theme('a fork'), Source('from the drawer'))"
3279,robot can you turn the electric oven on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the electric oven'), Operational_state('on'))"
3324,get my computer from the seat,"TAKING(Theme('my computer'), Source('from the seat'))"
3309,could you please turn on the tv,"CHANGE_OPERATIONAL_STATE(Agent('you'), Operational_state('on'), Device('the tv'))"
3284,take the mug on the table in the living room,TAKING(Theme('the mug on the table in the living room'))
3299,can you turn the shower on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the shower'), Operational_state('on'))"
3275,robot can you bring me a magazine,"BRINGING(Agent('you'), Beneficiary('me'), Theme('a magazine'))"
3372,robot can you turn the oven on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the oven'), Operational_state('on'))"
3342,let 's go to the laundry room,"MOTION(Theme(''s'), Goal('to the laundry room'))"
3391,restart the wifi,CHANGE_OPERATIONAL_STATE(Device('the wifi'))
3369,robot can you put the tv on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the tv'), Operational_state('on'))"
3308,could you pick up the telephone,"TAKING(Agent('you'), Theme('the telephone'))"
3291,bring me the towel from the drawer,"BRINGING(Beneficiary('me'), Theme('the towel'), Source('from the drawer'))"
3390,turn on the thermostat,"CHANGE_OPERATIONAL_STATE(Operational_state('on'), Device('the thermostat'))"
3357,robot can you bring me the phone,"BRINGING(Agent('you'), Beneficiary('me'), Theme('the phone'))"
3304,close the curtains in the living room,CLOSURE(Container_portal('the curtains in the living room'))
3365,robot can you pass me a plastic plate,"GIVING(Donor('you'), Recipient('me'), Theme('a plastic plate'))"
3330,i need some utensils could you take me some,"BRINGING(Agent('you'), Beneficiary('me'), Theme('some'))"
3377,shut off the boiler,"CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the boiler'))"
3373,robot can you turn the television on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('the television'), Operational_state('on'))"
3344,look for the towel,LOCATING(Sought_entity('for the towel'))
3285,take my jacket from the jacket hook in my bedroom,"TAKING(Theme('my jacket'), Source('from the jacket hook in my bedroom'))"
3356,robot can you bring me a towel,"BRINGING(Agent('you'), Beneficiary('me'), Theme('a towel'))"
3378,stop the tap,CHANGE_OPERATIONAL_STATE(Device('the tap'))
3351,put the bottle in the bin,"PLACING(Theme('the bottle'), Goal('in the bin'))"
3354,put the cup in the sink,"PLACING(Theme('the cup'), Goal('in the sink'))"
3314,could you turn on my pc,"CHANGE_OPERATIONAL_STATE(Agent('you'), Operational_state('on'), Device('my pc'))"
3301,check if the stereo is on,"INSPECTING(Ground('the stereo'), Desired_state('is on'))"
3353,put the can in the trash,"PLACING(Theme('the can'), Goal('in the trash'))"
3305,could you bring my water into the bedroom,"BRINGING(Agent('you'), Theme('my water'), Goal('into the bedroom'))"
3274,robot can you bring me a bath towel,"BRINGING(Agent('you'), Beneficiary('me'), Theme('a bath towel'))"
3322,get me my jacket,"BRINGING(Beneficiary('me'), Theme('my jacket'))"
3380,take the bottle from the table and use it to water the plant,"TAKING(Theme('the bottle'), Source('from the table'))"
3313,could you switch on my laptop please,"CHANGE_OPERATIONAL_STATE(Agent('you'), Operational_state('on'), Device('my laptop'))"
3316,find the bottle of water and water the plant,LOCATING(Sought_entity('the bottle of water'))
3340,let 's go get my book in the living room,TAKING(Theme('my book in the living room'))
3360,robot can you fully lower the window blinds,"CLOSURE(Agent('you'), Degree('fully'), Container_portal('the window blinds'))"
3375,see if the radio is on,"INSPECTING(Ground('the radio'), Desired_state('is on'))"
3346,please close the blinds,CLOSURE(Container_portal('the blinds'))
3303,check the answer machine for any messages,"INSPECTING(Ground('the answer machine'), Unwanted_entity('for any messages'))"
3319,follow me to the bathroom,"COTHEME(Cotheme('me'), Goal('to the bathroom'))"
3387,turn on the heating,"CHANGE_OPERATIONAL_STATE(Operational_state('on'), Device('the heating'))"
3368,robot can you put the blinds all the way down,"CLOSURE(Agent('you'), Container_portal('the blinds'), Degree('all the way down'))"
3364,robot can you open the washing machine,"CLOSURE(Agent('you'), Containing_object('the washing machine'))"
3370,robot can you take me to the laundry room,"BRINGING(Agent('you'), Theme('me'), Goal('to the laundry room'))"
3311,could you put the vase on the coffee table,"PLACING(Agent('you'), Theme('the vase'), Goal('on the coffee table'))"
3325,go straight to the living room,MOTION(Goal('straight to the living room'))
3331,i want to go to sleep turn off the light,"CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the light'))"
3296,can you please take out the garbage,"BRINGING(Agent('you'), Goal('out'), Theme('the garbage'))"
3272,bring me a chair from the studio,"BRINGING(Beneficiary('me'), Theme('a chair'), Source('from the studio'))"
3335,i would like some loo roll can you get me some loo roll,"BRINGING(Agent('you'), Beneficiary('me'), Theme('some loo roll'))"
3341,let 's go to the guest bedroom,"MOTION(Theme(''s'), Goal('to the guest bedroom'))"
3385,turn off the light and turn off the computer,"CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the light')) - CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the computer'))"
3292,bring over the gray folder,"BRINGING(Area('over'), Theme('the gray folder'))"
3328,go to the telephone and check for any messages,MOTION(Goal('to the telephone')) - INSPECTING(Unwanted_entity('for any messages'))
3363,robot can you open the washer,"CLOSURE(Agent('you'), Containing_object('the washer'))"
3312,could you put the vase on the table please,"PLACING(Agent('you'), Theme('the vase'), Goal('on the table'))"
3376,see if the washing machine is empty,"INSPECTING(Ground('the washing machine'), Desired_state('is empty'))"
3339,i 'm tired switch off the light please,"CHANGE_OPERATIONAL_STATE(Operational_state('off'), Device('the light'))"
3379,switch on the tv,"CHANGE_OPERATIONAL_STATE(Operational_state('on'), Device('the tv'))"
3333,i want to watch tv bring me the remote,"BRINGING(Beneficiary('me'), Theme('the remote'))"
3280,robot can you pass me the television remote,"GIVING(Donor('you'), Recipient('me'), Theme('the television remote'))"
3345,open the press,CLOSURE(Containing_object('the press'))
3388,turn on the light and go to the computer,"CHANGE_OPERATIONAL_STATE(Operational_state('on'), Device('the light')) - MOTION(Goal('to the computer'))"
3293,bring the newspaper to the studio,"BRINGING(Theme('the newspaper'), Goal('to the studio'))"
3277,robot can you open the cabinet,"CLOSURE(Agent('you'), Containing_object('the cabinet'))"
3371,robot can you turn my laptop on,"CHANGE_OPERATIONAL_STATE(Agent('you'), Device('my laptop'), Operational_state('on'))"
3382,take the tray to the bedroom,"BRINGING(Theme('the tray'), Goal('to the bedroom'))"
2337,go to the dining room,MOTION(Goal('to the dining room'))
2382,can you please search the book and bring it to me,"LOCATING(Perceiver('you'), Sought_entity('the book')) - BRINGING(Theme('it'), Beneficiary('to me'))"
2290,this is a bathroom with a shower bath and double sink,"BEING_IN_CATEGORY(Item('this'), Category('a bathroom with a shower bath and double sink'))"
2380,please go to the chair,MOTION(Goal('to the chair'))
2403,carry the phone to the chair,"BRINGING(Theme('the phone'), Goal('to the chair'))"
2250,you are in the bedroom and the bed is between two lamps,"BEING_LOCATED(Theme('you'), Location('in the bedroom')) - BEING_LOCATED(Theme('the bed'), Location('between two lamps'))"
2191,search for towel,LOCATING(Sought_entity('for towel'))
2372,search for the bottle of wine on the table,"LOCATING(Sought_entity('for the bottle of wine'), Ground('on the table'))"
2296,go to the fridge inside the kitchen,MOTION(Goal('to the fridge inside the kitchen'))
2376,take my phone into the living room,"BRINGING(Theme('my phone'), Goal('into the living room'))"
2181,follow the person with the blonde hair and the black pants fast,"COTHEME(Cotheme('the person with the blonde hair and the black pants'), Speed('fast'))"
2262,move to the lamp on the right side of the bed,MOTION(Goal('to the lamp on the right side of the bed'))
2335,this is a living room with white furniture,"BEING_IN_CATEGORY(Item('this'), Category('a living room with white furniture'))"
2411,bring me my towel that is in the bathroom,"BRINGING(Beneficiary('me'), Theme('my towel that is in the bathroom')) - BEING_LOCATED(Theme('that'), Location('in the bathroom'))"
2249,can you please go to the living room,"MOTION(Theme('you'), Goal('to the living room'))"
2253,can you bring me the coke from the fridge,"BRINGING(Agent('you'), Beneficiary('me'), Theme('the coke'), Source('from the fridge'))"
2195,put the mug in the living room,"PLACING(Theme('the mug'), Goal('in the living room'))"
2381,this is a bedroom with one bed and two night stands,"BEING_IN_CATEGORY(Item('this'), Category('a bedroom with one bed and two night stands'))"
2424,check the toilet paper,INSPECTING(Ground('the toilet paper'))
2258,bring the phone to the dinner table,"BRINGING(Theme('the phone'), Goal('to the dinner table'))"
2390,robot please take the mug to the sink,"BRINGING(Theme('the mug'), Goal('to the sink'))"
2434,give me the towel,"GIVING(Recipient('me'), Theme('the towel'))"
2263,place the mug on the sink nearest to the refrigerator,"PLACING(Theme('the mug'), Goal('on the sink nearest to the refrigerator'))"
2183,can you bring the mug to the couch in the living room please,"BRINGING(Agent('you'), Theme('the mug'), Goal('to the couch in the living room'))"
