id,prompt
0,"Please contact William at the bookcase and escort him to his cab"
1,"Greet Linda at the back door and introduce her to all the elders in the corridor."
2,"Robot please follow Mary"
3,"Follow Elizabeth"
4,"Could you please the dining room"
5,"Meet Robin and escort her"
6,"Bring me the object on top of the apple from the sink"
7,"Could you Tell me what's the largest object on the dining table"
8,"Please meet Michael and guide him"
9,"Meet Skyler at the dishwasher, follow him, and navigate to the kitchen"
10,"Deliver snacks to everyone in the dining room."
11,"Robot please bring me the object at the right of the apple from the cupboard"
12,"Bring me the apple from the side table"
13,"Robot please meet John at the entrance and follow him to the bedroom"
14,"Could you please grasp the tray from the storage table and put it on the sink"
15,"Accompany Jennifer from the bookcase to the dining table"
16,"Robot please take my valise to the cab"
17,"Tell me the name of the person at the entrance"
18,"Please meet Patricia at the sink and follow her"
19,"Arrange drinks to everyone in the corridor."
20,"Bring the apple from the bedroom to the sink"
21,"Please meet Michael at the bookcase, follow him, and go to the living room"
22,"Go to the bed, meet Skyler, and escort him to the sink"
23,"Could you please follow Elizabeth"
24,"Answer a question to the person pointing to the right in the dining room"
25,"Robot please the living room"
26,"Follow Robert from the bed to the dining room"
27,"Tell me how many noodles there are on the sink"
28,"Please grasp the cloth from the cupboard and put it on the end table"
29,"Navigate to the desk, meet William, and escort him"
30,"Contact Linda at the entrance and ask her to leave"
31,"Please meet Robin and take her"
32,"Bring me the smallest object from the cupboard"
33,"Could you meet Francis at the exit, follow him, and take him back"
34,"Navigate to the bed, meet Jennifer, and take her"
35,"Robot please go to the desk, meet James, and guide him"
36,"Could you please bring me the drinks"
37,"Meet James at the entrance, follow him, and navigate to the kitchen"
38,"Accompany James to the bookcase, you will find him at the exit"
39,"Contact Skyler at the bookcase and introduce it to Charlie at the desk"
40,"Take Mary to the couch"
41,"Meet Charlie at the end table, follow her, and lead her back"
42,"Please tell me how many people in the dining room are girls"
43,"Guide Elizabeth to the end table"
44,"Could you please Tell me what's the smallest fruits on the bookcase"
45,"Could you give me the snacks"
46,"Could you meet Robin at the entrance, follow him, and navigate to the corridor"
47,"Meet Jennifer at the exit, follow her, and guide her back"
48,"The bedroom"
49,"Pick up the tray from the storage table and put it on the counter"
50,"Tell me the pose of the person in the corridor"
51,"Please Tell me the gender of the person at the desk"
52,"Please face Michael at the exit and introduce it to William at the exit"
53,"Tell me the name of the person at the bed"
54,"Meet Michael at the bookcase, follow him, and go to the living room"
55,"Dump the waste"
56,"Tell me the gender of the person at the bookcase"
57,"Go to the exit, meet Alex, and follow her"
58,"Go to the bed, meet Skyler, and follow him"
59,"Find Alex at the main door and introduce her to everyone in the bedroom."
60,"Robot please answer a question to the person pointing to the left in the living room"
61,"Grasp the tray and place it on the side table"
62,"Could you meet Linda and lead her"
63,"Please Tell me how many drinks there are on the dining table"
64,"Tell me how many fruits there are on the dining table"
65,"Get the bowl from the bookcase and place it on the end table"
66,"Could you meet Michael at the dishwasher and take him to the couch"
67,"The dining room"
68,"Tell me what's the heaviest fruits on the cupboard"
69,"Please meet Francis at the dining table and take him to the desk"
70,"Please tell me how many people in the dining room are sitting"
71,"Go to the bed, meet Elizabeth, and take her to the entrance"
72,"Please meet Francis at the end table, follow her, and navigate to the dining room"
73,"Robot please look for the fruits in the dining room"
74,"Take the grape juice to the sink"
75,"Bring me the object above the bowl from the desk"
76,"Please meet Alex at the bookcase, follow her, and take her back"
77,"Please dump the trash"
78,"Give me the biggest cleaning stuff from the side table"
79,"Could you pick up the bowl and place it on the sink"
80,"Follow John from the exit to the bedroom"
81,"Bring me the fruits"
82,"Greet Mary at the bed and accompany her to her cab"
83,"Please bring me the orange from the storage table"
84,"Robot please locate a person lying down in the living room and say the day of the week"
85,"Please find the fruits in the corridor"
86,"Meet Francis at the desk, follow him, and navigate to the dining room"
87,"Could you bring me the left most object from the desk"
88,"Could you bring the tray to the person pointing to the left in the kitchen"
89,"Take my trolley to the cab"
90,"Robot please go to the couch, meet Robin, and guide him"
91,"Could you please the dining room"
92,"Robot please meet William at the dining table, follow him, and lead him back"
93,"Please Tell me what's the lightest object on the bookcase"
94,"Get the fork and put it on the desk"
95,"Tell me what's the lightest snacks on the side table"
96,"Find a person lying down in the kitchen and say a joke"
97,"Meet Mary at the bookcase, follow her, and navigate to the living room"
98,"Meet Robin at the exit, follow him, and guide him back"
99,"Bring me the left most object from the dining table"
100,"Robot please bring me the bowl"
101,"Meet Robin at the bookcase, follow him, and navigate to the bedroom"
102,"Robot please meet Francis at the entrance, follow her, and navigate to the corridor"
103,"Follow Robin"
104,"Please meet William at the end table, follow him, and go to the kitchen"
105,"Could you meet Charlie at the dishwasher, follow her, and accompany her back"
106,"Could you the living room"
107,"Please meet Robin at the bed, follow him, and navigate to the living room"
108,"Robot please meet Michael at the exit, follow him, and navigate to the corridor"
109,"Navigate to the desk, meet Robert, and lead him to the end table"
110,"Meet Michael at the couch, follow him, and go to the bedroom"
111,"Give me the lightest object from the counter"
112,"Tell me how many people in the corridor are female"
113,"Could you please Tell me the pose of the person at the couch"
114,"Find James at the end table and ask him to leave"
115,"Tell me the gender of the person at the exit"
116,"Navigate to the corridor, look for a person standing, and tell the day of the week"
117,"Could you find Elizabeth at the end table and introduce it to Linda at the sink"
118,"Lead Jennifer from the dishwasher to the desk"
119,"Robot please navigate to the exit, meet Robin, and take her"
120,"Deliver the tray to the person pointing to the right in the corridor"
121,"Could you take the cascade pod to the desk"
122,"Escort Skyler to the desk, you can find him at the bed"
123,"Could you please give me the fruits"
124,"Could you go to the corridor, find a boy, and say a joke"
125,"Could you please go to the entrance, meet Charlie, and escort her"
126,"Could you please Tell me how many bowl there are on the side table"
127,"Please greet Charlie at the dishwasher and ask him to leave"
128,"Grasp the bowl from the dining table and give it to me"
129,"Meet Charlie at the bookcase, follow her, and go to the corridor"
130,"Meet Jennifer at the entrance and follow her to the living room"
131,"Meet Alex at the entrance, follow her, and accompany her back"
132,"Meet Patricia at the exit and follow her to the bedroom"
133,"Robot please bring me the right most object from the cupboard"
134,"Please face Elizabeth at the front entrance and introduce her to all the women in the corridor."
135,"Please distribute snacks to all the men in the bedroom."
136,"Please greet James at the couch and ask him to leave"
137,"Could you please say what day is today to the person pointing to the left in the kitchen"
138,"Follow John from the dishwasher to the corridor"
